service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
220.0.1,0,0,0,0,0,1,0,20251117,20260222
220.0.2,0,0,0,0,0,0,1,20251117,20260222
220.0.3,1,1,1,1,1,0,0,20251117,20260222
220.0.4,0,0,0,0,0,0,0,20251117,20260222
225.0.5,1,1,1,1,1,0,0,20251117,20260222
225.0.6,0,0,0,0,0,1,0,20251117,20260222
225.0.7,0,0,0,0,0,0,1,20251117,20260222
225.0.8,0,0,0,0,0,0,0,20251117,20260222
225.0.10,0,0,0,0,0,0,0,20251117,20260222
225.0.14,0,0,0,0,0,0,0,20251117,20260222
