service_id,date,exception_type
220.1141.3,20251117,1
220.1141.3,20251118,1
220.1141.3,20251119,1
220.1141.3,20251120,1
220.1143.3,20251121,1
220.1141.3,20251124,1
220.1141.3,20251125,1
220.1141.3,20251126,1
220.1141.3,20251127,1
220.1141.3,20251128,1
220.1141.3,20251201,1
220.1141.3,20251202,1
220.1141.3,20251203,1
220.1143.3,20251204,1
220.1141.3,20251205,1
220.1141.3,20251208,1
220.1141.3,20251209,1
220.1141.3,20251210,1
220.1141.3,20251211,1
220.1141.3,20251212,1
220.1141.3,20251215,1
220.1141.3,20251216,1
220.1141.3,20251217,1
220.1141.3,20251218,1
220.1141.3,20251219,1
220.1143.3,20251222,1
220.1143.3,20251223,1
220.1143.3,20251224,1
220.0.2,20251225,1
220.0.3,20251225,2
220.0.2,20251226,1
220.0.3,20251226,2
220.1143.3,20251229,1
220.1143.3,20251230,1
220.0.4,20251231,1
220.0.3,20251231,2
220.0.2,20260101,1
220.0.3,20260101,2
220.1143.3,20260102,1
220.1141.3,20260105,1
220.1141.3,20260106,1
220.1141.3,20260107,1
220.1141.3,20260108,1
220.1141.3,20260109,1
220.1141.3,20260112,1
220.1141.3,20260113,1
220.1141.3,20260114,1
220.1141.3,20260115,1
220.1141.3,20260116,1
220.1141.3,20260119,1
220.1141.3,20260120,1
220.1141.3,20260121,1
220.1141.3,20260122,1
220.1141.3,20260123,1
220.1141.3,20260126,1
220.1141.3,20260127,1
220.1141.3,20260128,1
220.1141.3,20260129,1
220.1141.3,20260130,1
220.1141.3,20260202,1
220.1141.3,20260203,1
220.1141.3,20260204,1
220.1141.3,20260205,1
220.1141.3,20260206,1
220.1141.3,20260209,1
220.1141.3,20260210,1
220.1141.3,20260211,1
220.1141.3,20260212,1
220.1141.3,20260213,1
220.0.2,20260216,1
220.0.3,20260216,2
220.1141.3,20260217,1
220.1141.3,20260218,1
220.1141.3,20260219,1
220.1141.3,20260220,1
225.0.14,20251225,1
225.0.5,20251225,2
225.0.8,20251226,1
225.0.5,20251226,2
225.0.10,20251231,1
225.0.5,20251231,2
225.0.14,20260101,1
225.0.5,20260101,2
225.0.8,20260216,1
225.0.5,20260216,2
